物件名,住所,間取り,家賃,階数,最寄りまでの時間
ＪＲ山手線 高田馬場駅 4階建 築1年,東京都新宿区高田馬場４,2K,11.1万円,"築1年
4階建",ＪＲ山手線/高田馬場駅 歩7分
ビルヴィオ東日暮里,東京都荒川区東日暮里４,2DK,13.9万円,"築8年
9階建",ＪＲ山手線/日暮里駅 歩10分
東京メトロ半蔵門線 押上駅 7階建 築6年,東京都墨田区向島３,2LDK,16.7万円,"築6年
7階建",東京メトロ半蔵門線/押上駅 歩10分
フェニックス板橋,東京都板橋区板橋２,2DK,12万円,"築14年
8階建",ＪＲ埼京線/板橋駅 歩10分
東京メトロ東西線 落合駅 6階建 築3年,東京都中野区東中野３,2DK,17.8万円,"築3年
6階建",東京メトロ東西線/落合駅 歩1分
ブルーシエル西新井大師,東京都足立区西新井６,2LDK,14万円,"築7年
7階建",東武大師線/大師前駅 歩8分
ツヴァイテ小竹向原,東京都練馬区小竹町２,2DK,15万円,"新築
4階建",東京メトロ副都心線/小竹向原駅 歩2分
プライムブリス蔵前,東京都台東区蔵前３,2LDK,19万円,"新築
13階建",都営大江戸線/蔵前駅 歩2分
都営三田線 春日駅 3階建 築6年,東京都文京区白山１,2K,9.1万円,"築6年
3階建",都営三田線/春日駅 歩7分
クレイシアＩＤＺ浅草,東京都台東区元浅草４,2K,10.3万円,"新築
11階建",東京メトロ銀座線/田原町駅 歩6分
ソライエアイル練馬北町,東京都練馬区北町３,2LDK,16.5万円,"築5年
6階建",東京メトロ有楽町線/地下鉄赤塚駅 歩7分
グランカーサ王子2,東京都北区王子３,2LDK,16.8万円,"新築
6階建",東京メトロ南北線/王子駅 歩10分
東京メトロ銀座線 田原町駅 11階建 新築,東京都台東区元浅草４,2K,10.3万円,"新築
11階建",東京メトロ銀座線/田原町駅 歩5分
ザ・プレミアムキューブG東中野,東京都中野区東中野５,2K,11.35万円,"新築
5階建",ＪＲ中央線/東中野駅 歩7分
東京メトロ銀座線 田原町駅 15階建 築10年,東京都台東区寿３,2K,15万円,"築10年
15階建",東京メトロ銀座線/田原町駅 歩4分
ＪＲ京浜東北線 王子駅 15階建 築2年,東京都北区王子本町１,2K,10.45万円,"築2年
15階建",ＪＲ京浜東北線/王子駅 歩6分
ガーラ・グランディ小竹向原,東京都板橋区小茂根４,2K,10万円,"築9年
5階建",東京メトロ有楽町線/小竹向原駅 歩6分
都営大江戸線 練馬駅 4階建 新築,東京都練馬区豊玉北６,2K,8.8万円,"新築
4階建",都営大江戸線/練馬駅 歩7分
ロイジェント梅丘,東京都世田谷区梅丘２,2LDK,17.4万円,"築3年
2階建",小田急線/豪徳寺駅 歩5分
ＪＲ京浜東北線 王子駅 14階建 新築,東京都北区豊島１,2K,10.3万円,"新築
14階建",ＪＲ京浜東北線/王子駅 歩9分
SYFORME OJIII,東京都北区豊島１,2K,10.3万円,"新築
14階建",ＪＲ京浜東北線/王子駅 歩9分
マキ東中野,東京都中野区東中野４,2K,15万円,"築15年
3階建",東京メトロ東西線/落合駅 歩3分
アムール,東京都品川区戸越５,2K,12.1万円,"築13年
3階建",東急大井町線/戸越公園駅 歩2分
東京メトロ銀座線 稲荷町駅 10階建 築8年,東京都台東区松が谷２,2K,15.5万円,"築8年
10階建",東京メトロ銀座線/稲荷町駅 歩7分
ハーモニーレジデンス中野本町パークサイド,東京都中野区本町５,2K,10.85万円,"築3年
4階建",東京メトロ丸ノ内線/中野新橋駅 歩6分
アイルプレミアム池袋ノルド,東京都板橋区板橋４,2K,12.5万円,"築2年
12階建",都営三田線/新板橋駅 歩2分
都営三田線 新板橋駅 12階建 築2年,東京都板橋区板橋４,2K,12.5万円,"築2年
12階建",都営三田線/新板橋駅 歩2分
kinomori代々木上原,東京都渋谷区上原２,2K,12.7万円,"新築
4階建",小田急線/代々木上原駅 歩7分
小田急線 代々木上原駅 2階建 新築,東京都渋谷区上原２,2K,13.1万円,"新築
2階建",小田急線/代々木上原駅 歩7分
レーヴ新井,東京都中野区新井２,2K,13.9万円,"築1年
3階建",ＪＲ総武線/中野駅 歩9分
コンフォリア二葉,東京都品川区二葉２,2K,11.8万円,"新築
6階建",ＪＲ横須賀線/西大井駅 歩8分
Ｆｉｋａ代々木上原,東京都渋谷区上原２,2K,15万円,"築5年
地下1地上5階建",東京メトロ千代田線/代々木上原駅 歩9分
ウェルスクエア神楽坂,東京都新宿区若宮町,2K,13.3万円,"新築
地下1地上5階建",都営大江戸線/牛込神楽坂駅 歩6分
小田急線 下北沢駅 2階建 築13年,東京都世田谷区代沢２,2K,12.2万円,"築13年
2階建",小田急線/下北沢駅 歩5分
下北沢テラス１,東京都世田谷区代沢２,2K,12.2万円,"築13年
2階建",小田急線/下北沢駅 歩5分
東急世田谷線 松陰神社前駅 4階建 築2年,東京都世田谷区若林３,2K,11.3万円,"築2年
4階建",東急世田谷線/松陰神社前駅 歩4分
ＪＲ山手線 日暮里駅 9階建 築8年,東京都荒川区東日暮里４,2DK,13.9万円,"築8年
9階建",ＪＲ山手線/日暮里駅 歩10分
ＪＲ中央線 飯田橋駅 8階建 築2年,東京都新宿区新小川町,2K,14.2万円,"築2年
8階建",ＪＲ中央線/飯田橋駅 歩6分
ＬＩＢＲ　ＧＲＡＮＴ　四谷三丁目,東京都新宿区四谷４,2K,13.1万円,"新築
地下1地上5階建",東京メトロ丸ノ内線/四谷三丁目駅 歩3分
東京メトロ丸ノ内線 四谷三丁目駅 地下1地上5階建 築2年,東京都新宿区四谷４,2K,13.1万円,"築2年
地下1地上5階建",東京メトロ丸ノ内線/四谷三丁目駅 歩3分
